respondent_id,age,gender,city,city_tier,occupation,monthly_income_band,skin_type,skin_tone,climate_zone,water_hardness,known_allergies,concern_acne_breakouts,concern_pigmentation_dark_spots,concern_open_pores,concern_dullness,concern_dark_circles,concern_uneven_skin_tone,concern_dryness_dehydration,concern_anti_ageing_wrinkles,concern_sensitivity_redness,concern_tan_removal,total_concerns,routine_steps,uses_cleanser,uses_moisturiser,uses_sunscreen,uses_serum,uses_acne_treatment,uses_brightening,uses_under_eye_cream,uses_ayurvedic,ingredient_awareness_score,psychographic_type,brand_openness,digital_content_hrs_week,online_shopping_freq,past_product_failure,failure_reason,current_satisfaction_score,preferred_format,preferred_brand_origin,importance_natural_ingredients,purchase_decision_driver,monthly_skincare_spend,premium_willingness,platform_appeal_score,will_signup
RESP_0001,26,Female,Jaipur,Tier 2,Student,"Below ₹20,000",Oily,Dark Brown,Moderate,Hard,None,1,1,1,1,1,1,0,0,0,1,7,3,1,1,1,0,1,0,0,0,3.1,Budget Optimizer,Very reluctant,2.9,Never,0,N/A,3.6,Lotion,International Western,Somewhat Important,Social media / influencer,1056,"Yes, if proven effective",3.2,0
RESP_0002,47,Female,Agra,Tier 3,Student,"Below ₹20,000",Oily,Wheatish,Moderate,nan,Alcohol,1,1,0,1,1,1,0,0,0,0,5,4,1,1,1,1,0,1,0,1,3.4,Trend Follower,Neutral,4.4,Rarely (once in 3–6 months),1,Wrong skin type match,7.0,Gel,Indian / Homegrown,Somewhat Important,Brand reputation,1349,"Yes, if proven effective",4.8,0
RESP_0003,36,Male,Varanasi,Tier 3,Student,"Below ₹20,000",Dry,Dark Brown,Tropical Humid,Hard,None,0,1,0,0,0,0,1,0,0,0,2,2,0,1,1,0,0,1,0,1,0.0,Ingredient Nerd,Somewhat willing,4.8,Rarely (once in 3–6 months),1,Wrong skin type match,4.0,Serum / Oil,International Western,Somewhat Important,Online reviews,1130,"Yes, if proven effective",4.5,1
RESP_0004,31,Female,Chennai,Tier 1,Student,"₹20,001–₹40,000",Sensitive,Wheatish,Moderate,Soft,None,0,1,0,0,1,1,1,0,1,0,5,5,1,1,1,1,0,0,0,1,3.4,Minimalist,Somewhat willing,2.7,Occasionally (once a month),1,Caused breakouts,5.0,Cream,Indian / Homegrown,Somewhat Important,Online reviews,1765,No,5.2,0
RESP_0005,22,Female,Chennai,Tier 1,Salaried – Private,"₹70,001–₹1,00,000",Oily,Medium Brown,Tropical Humid,Soft,None,1,0,1,1,0,0,0,0,0,1,4,2,1,1,1,0,1,0,0,1,3.9,Ingredient Nerd,Very willing,4.2,Occasionally (once a month),1,Too expensive,4.4,Lotion,Indian / Homegrown,Somewhat Important,Friend / family word of mouth,2497,"Yes, if proven effective",5.5,1
RESP_0006,22,Male,Bangalore,Tier 1,Business Owner,"₹70,001–₹1,00,000",Dry,Fair,Arid,Very Hard,Parabens,1,0,0,1,1,1,1,0,0,1,6,5,1,1,1,0,1,0,1,0,5.9,Trend Follower,Very willing,5.1,Regularly (2–3 times a month),1,Caused breakouts,5.2,Sheet Mask,Indian / Homegrown,Somewhat Important,Online reviews,4317,"Yes, if proven effective",9.1,1
RESP_0007,19,Female,Chandigarh,Tier 2,Salaried – Private,"₹20,001–₹40,000",Oily,Wheatish,Moderate,Moderately Hard,None,1,1,1,1,1,0,0,1,0,0,6,3,0,1,1,1,0,1,0,0,3.0,Convenience Seeker,Neutral,5.8,Occasionally (once a month),0,N/A,7.1,Cream,Indian / Homegrown,Very Important,Online reviews,1589,"Yes, if proven effective",4.0,0
RESP_0008,42,Male,Coimbatore,Tier 2,Salaried – Private,"₹20,001–₹40,000",Dry,Wheatish,Semi-Arid,Very Hard,None,0,0,0,0,0,1,1,0,0,0,2,4,1,1,1,0,0,0,0,0,4.2,Minimalist,Neutral,0.0,Regularly (2–3 times a month),1,Ingredient sensitivity,1.0,Lotion,No preference,Very Important,Brand reputation,2057,"Yes, if proven effective",8.7,0
RESP_0009,31,Female,Coimbatore,Tier 2,Business Owner,"₹70,001–₹1,00,000",Combination,Fair,Moderate,Moderately Hard,None,1,1,1,0,1,1,1,0,0,1,7,3,1,1,0,1,1,1,1,1,1.9,Trend Follower,Somewhat willing,6.0,Rarely (once in 3–6 months),1,No visible results,3.7,Serum / Oil,International Western,Somewhat Important,Brand reputation,14492,Maybe,7.7,1
RESP_0010,35,Female,Bangalore,Tier 1,Salaried – Private,"₹40,001–₹70,000",Oily,Fair,Tropical Humid,Hard,Alcohol,1,0,1,1,0,0,0,0,0,1,4,6,1,0,1,0,1,0,0,1,8.3,Convenience Seeker,Very willing,3.2,Occasionally (once a month),0,N/A,5.5,Gel,International Western,Somewhat Important,Social media / influencer,2372,"Yes, definitely",3.4,0
RESP_0011,18,Female,Bangalore,Tier 1,Homemaker,"₹70,001–₹1,00,000",Oily,Medium Brown,Arid,Moderately Hard,Fragrance,1,1,1,1,0,1,0,0,0,0,5,5,1,1,1,0,1,1,0,1,6.1,Ingredient Nerd,Very willing,2.5,Regularly (2–3 times a month),0,N/A,6.2,Cream,No preference,Not Important,Social media / influencer,4185,"Yes, definitely",4.4,0
